date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-11-10,65.041,65.7567,64.896,65.6208,4373753,4373753,0.489233,0.751,65.3354,"Nov 10, 15",-0.21395647465813147
2015-11-11,65.7205,66.0013,65.0682,65.1497,4190694,4190694,-0.471112,-0.718,65.3932,"Nov 11, 15",-0.2195995802708116
2015-11-12,64.1622,64.3162,61.9787,62.2052,8731745,8731745,-2.9445,-4.52,62.8535,"Nov 12, 15",-0.25487048767165293
2015-11-13,62.2415,63.537,62.0603,63.084,6429566,6429566,0.878809,1.413,62.8473,"Nov 13, 15",-0.2443437179573179
2015-11-16,62.9482,63.981,62.7217,63.7726,5167643,5167643,0.688553,1.091,63.4803,"Nov 16, 15",-0.2360952727760582
2015-11-17,63.537,63.7454,62.5586,62.8666,4811991,4811991,-0.905988,-1.421,63.0408,"Nov 17, 15",-0.24694785966862476
2015-11-18,63.3287,63.827,62.8557,63.7092,3788345,3788345,0.84257,1.34,63.4469,"Nov 18, 15",-0.2368547142870832
2015-11-19,62.9663,63.5189,62.1509,63.4374,6296006,6296006,-0.271796,-0.427,63.0036,"Nov 19, 15",-0.24011049035485327
2015-11-20,63.8541,64.5155,63.5643,64.4521,6495068,6495068,1.0147,1.6,64.2673,"Nov 20, 15",-0.2279558326066332
2015-11-23,64.3071,65.1406,64.2211,64.3434,3847626,3847626,-0.108718,-0.169,64.5581,"Nov 23, 15",-0.2292579034622866
2015-11-24,64.1259,64.9684,63.8179,64.6877,3846515,3846515,0.344275,0.535,64.5659,"Nov 24, 15",-0.2251336808716567
2015-11-25,64.9957,65.1316,64.0761,64.7692,3492996,3492996,0.081539,0.126,64.7952,"Nov 25, 15",-0.22415742719423495
2015-11-27,64.4883,64.8054,64.0535,64.5246,1642061,1642061,-0.244616,-0.378,64.4353,"Nov 27, 15",-0.22708738608377324
2015-11-30,64.6242,65.947,64.4612,65.8201,5632904,5632904,1.2956,2.008,65.5756,"Nov 30, 15",-0.2115691451132215
2015-12-01,65.5302,65.8111,64.1894,64.8326,6578365,6578365,-0.98753,-1.5,64.8087,"Dec 1, 15",-0.22339798568320987
2015-12-02,64.5065,65.349,63.981,64.3524,5068182,5068182,-0.480173,-0.741,64.5842,"Dec 2, 15",-0.2291500963077247
2015-12-03,64.4612,64.5246,62.8485,63.0931,8130772,8130772,-1.2593,-1.957,63.3926,"Dec 3, 15",-0.2442347129454831
2015-12-04,62.8394,63.4464,62.3321,63.4011,5252014,5252014,0.308036,0.488,63.0507,"Dec 4, 15",-0.24054531254491965
2015-12-07,62.2234,62.2687,61.3536,61.9334,6805880,6805880,-1.4677,-2.315,61.7939,"Dec 7, 15",-0.25812626373942293
2015-12-08,60.6922,60.8463,59.9584,60.2845,6866300,6866300,-1.6489,-2.662,60.3784,"Dec 8, 15",-0.27787773231243945
